"TripID","DteStart","DteEnd","BatteryAtStart","BatteryAtEnd","DwUpdated","TripApprovedKilometer","DiffInBat","DiffInDte","vehicleId"
2487577,261,252,96,86,"2024-01-28T18:18:18.000Z",28.3,10,9,"KA03AL3781"
2487297,143,96,65,39,"2024-01-28T18:18:18.000Z",53.7,26,47,"KA03AL2127"
2489084,208,147,95,83,"2024-01-28T18:18:18.000Z",18.8999996185302,12,61,"KA03AL2127"
2488433,137,111,72,55,"2024-01-28T18:18:18.000Z",32.7999992370605,17,26,"KA03AL3781"
2488269,206,128,77,60,"2024-01-28T18:18:18.000Z",26.1000003814697,17,78,"KA03AL3782"
2489959,166,129,83,71,"2024-02-08T07:15:52.000Z",22.4,12,37,"KA03AL3782"
2489730,145,119,73,59,"2024-02-08T07:15:52.000Z",24.4,14,26,"KA03AL3783"
2491243,159,106,67,49,"2024-02-08T07:15:52.000Z",34.9000015258789,18,53,"KA05AM1248"
2491938,208,173,90,84,"2024-02-08T07:15:52.000Z",13.8,6,35,"KA03AL3781"
2491633,155,110,75,58,"2024-02-08T07:15:52.000Z",29.1,17,45,"KA03AL3800"
2493402,249,189,89,80,"2024-01-28T18:50:38.000Z",18,9,60,"KA03AL3782"
2494460,143,104,65,49,"2024-02-08T07:15:52.000Z",34.4000015258789,16,39,"KA03AL3781"
2494169,217,190,95,89,"2024-02-08T07:15:52.000Z",11.5,6,27,"KA03AL2088"
2494274,160,136,80,72,"2024-02-08T07:15:52.000Z",18.8999996185302,8,24,"KA03AL2127"
2494699,132,99,65,45,"2024-02-08T07:15:52.000Z",39.5,20,33,"KA03AL3797"
2495940,142,97,70,50,"2024-02-08T13:15:51.000Z",32.5,20,45,"KA03AL3783"
2496416,214,176,95,84,"2024-02-08T13:15:51.000Z",21.2999992370605,11,38,"KA05AM1248"
2495555,130,95,66,48,"2024-02-08T13:15:51.000Z",28.2999992370605,18,35,"KA03AL3782"
2497021,172,126,79,61,"2024-02-09T02:30:09.000Z",32,18,46,"KA03AL3783"
2497412,119,87,60,47,"2024-02-09T02:30:09.000Z",19.1000003814697,13,32,"KA03AL2098"
2402765,177,143,79,59,"2023-11-17T07:48:45.000Z",34.599998474121,20,34,"KA03AL2123"
2414946,136,108,67,57,"2023-11-20T23:13:34.000Z",28.8999996185302,10,28,"KA03AL3800"
2418999,182,157,87,80,"2023-11-20T23:13:34.000Z",36.2000007629394,7,25,"KA05AM1248"
2419792,189,167,87,77,"2023-11-20T23:13:34.000Z",53.7000007629394,10,22,"KA03AL2123"
2426429,199,181,94,86,"2023-11-22T14:18:50.000Z",27.7000007629394,8,18,"KA03AL3800"
2425980,172,147,83,70,"2023-11-22T14:18:50.000Z",35.099998474121,13,25,"KA03AL2088"
2429017,88,76,50,41,"2023-11-22T20:18:49.000Z",32.7000007629394,9,12,"KA03AL3800"
2444608,227,169,99,88,"2023-12-19T21:45:21.000Z",50.9000015258789,11,58,"KA05AM1248"
2448200,114,113,59,51,"2023-12-19T15:45:22.000Z",33.8,8,1,"KA03AL2088"
2449622,172,171,88,79,"2023-12-19T15:45:22.000Z",18.3,9,1,"KA05AM1248"
2451617,174,169,79,73,"2023-12-19T15:45:22.000Z",28,6,5,"KA03AL3800"
2452261,161,140,68,62,"2023-12-19T15:45:22.000Z",30.4,6,21,"KA05AM1248"
2454014,216,183,87,79,"2023-12-19T15:45:22.000Z",37.7,8,33,"KA03AL2127"
2454878,192,166,91,81,"2023-12-19T15:45:22.000Z",31.2,10,26,"KA03AL3782"
2460686,219,182,89,75,"2023-12-26T20:01:16.000Z",31.5,14,37,"KA03AL2123"
2461291,134,72,65,37,"2023-12-26T20:01:16.000Z",29.6,28,62,"KA05AM1248"
2466456,228,193,86,75,"2024-01-28T18:18:18.000Z",49.9000015258789,11,35,"KA03AL2127"
2464753,154,135,66,52,"2024-01-28T18:18:18.000Z",26.2000007629394,14,19,"KA03AL3783"
2468055,119,78,63,41,"2024-01-28T18:18:18.000Z",32.8,22,41,"KA03AL2098"
2468498,155,97,65,49,"2024-01-28T18:18:18.000Z",28.8,16,58,"KA03AL3800"
2469312,175,171,91,78,"2024-01-28T18:18:18.000Z",29.7,13,4,"KA03AL3797"
2468876,146,80,67,41,"2024-01-28T18:18:18.000Z",37.7,26,66,"KA03AL3782"
2469892,159,106,68,51,"2024-01-28T18:18:18.000Z",34.6,17,53,"KA03AL3782"
2470249,153,108,71,52,"2024-01-28T18:18:18.000Z",30,19,45,"KA03AL3782"
2471689,136,90,66,42,"2024-01-28T18:18:18.000Z",50.599998474121,24,46,"KA03AL3782"
2471304,180,132,71,58,"2024-01-28T18:18:18.000Z",21.2999992370605,13,48,"KA03AL3781"
2473188,164,109,69,48,"2024-01-28T18:18:18.000Z",52.2,21,55,"KA05AM1248"
2473500,212,191,97,89,"2024-01-28T18:18:18.000Z",14,8,21,"KA03AL2127"
2472801,191,137,74,59,"2024-01-28T18:18:18.000Z",32.8,15,54,"KA03AL3782"
2474626,162,124,69,58,"2024-01-28T18:18:18.000Z",26.4,11,38,"KA03AL2088"
2474888,147,137,69,60,"2024-01-28T18:18:18.000Z",17,9,10,"KA03AL3797"
2474320,166,130,71,62,"2024-01-28T18:18:18.000Z",19.8,9,36,"KA03AL3800"
2474123,178,128,79,60,"2024-01-28T18:18:18.000Z",34,19,50,"KA03AL2098"
2476293,201,180,96,89,"2024-01-28T18:18:18.000Z",10.6000003814697,7,21,"KA03AL2088"
2475954,160,125,71,60,"2024-01-28T18:18:18.000Z",19.5,11,35,"KA03AL3781"
